name,gdp,tariff,
"Macao SAR, China",519982.3217,N/A,
St. Martin (French part),N/A,N/A,
Morocco,32209.2207,N/A,
Monaco,215679.2278,N/A,
Moldova,8260,0.31,
Madagascar,595,0.47,
Maldives,18207,N/A,
Mexico,193039.06,N/A,
Marshall Islands,5470.420069,N/A,
North Macedonia,9882,0.33,
Mali,251382.183,N/A,
Malta,45735,0.2,
Myanmar,1178,0.44,
Montenegro,7087.004221,N/A,
Mongolia,8780754.277,N/A,
Northern Mariana Islands,N/A,N/A,
Mozambique,663,0.16,
Mauritania,74863.07953,N/A,
Mauritius,12339,0.4,
Malawi,580,0.18,
Malaysia,14423,0.24,
Namibia,4661,0.21,
New Caledonia,N/A,N/A,
Niger,332342.3081,N/A,
Nigeria,807,0.14,
Nicaragua,3019,0.18,
Netherlands,70450,0.2,
Norway,89694,0.16,
Nepal,86853.13388,N/A,
Nauru,12727,0.3,
New Zealand,59892.64852,N/A,
Oman,7580.562652,N/A,
Pakistan,1581,0.29,
Panama,17724.10137,N/A,
Peru,16657.51876,N/A,
Philippines,4350,0.17,
Palau,12957.0112,N/A,
Papua New Guinea,6636.650733,N/A,
Poland,26805,0.2,
Puerto Rico,31436.03048,N/A,
South Korea,34642,0.25,
Portugal,30002,0.2,
Paraguay,32948067.01,N/A,
West Bank and Gaza,2862.881175,N/A,
French Polynesia,N/A,N/A,
Qatar,261396.1535,N/A,
Romania,21421,0.2,
Russian Federation,653066.0625,N/A,
Rwanda,821232.0788,N/A,
South Asia,N/A,N/A,
Saudi Arabia,104276.2173,N/A,
Sudan,311.3773499,N/A,
Senegal,855899.3671,N/A,
Singapore,89944.434,N/A,
Solomon Islands,14037.57302,N/A,
Sierra Leone,7358.193819,N/A,
El Salvador,4423.356051,N/A,
San Marino,N/A,N/A,
Somalia,15540877.05,N/A,
Serbia,14174,0.37,
South Sudan,N/A,N/A,
Sub-Saharan Africa,N/A,N/A,
Slovak Republic,27130,0.2,
Slovenia,35332,0.2,
Sweden,35332,0.2,
Eswatini,56866.72661,N/A,
Sint Maarten (Dutch part),60447.91264,N/A,
Seychelles,224800.9585,N/A,
Syrian Arab Republic,1052,0.41,
Turks and Caicos Islands,19208.5324,N/A,
Chad,991,0.13,
Togo,537972.4993,N/A,
Thailand,7767,0.36,
Tajikistan,931.3031561,N/A,
Turkmenistan,10622.72803,N/A,
Timor-Leste,1278.418694,N/A,
Tonga,N/A,N/A,
Trinidad and Tobago,111430.9585,N/A,
Tunisia,4528,0.28,
Turkiye,26141.2693,N/A,
Tuvalu,6872.419445,N/A,
Tanzania,2174698.5,N/A,
Uganda,2963450.519,N/A,
Ukraine,55250.38672,N/A,
Uruguay,540804.5298,N/A,
United States,65875.17788,N/A,
Uzbekistan,4830947.802,N/A,
St. Vincent and the Grenadines,26136.61262,N/A,
"Venezuela, RB",N/A,0.16,
British Virgin Islands,N/A,N/A,
Virgin Islands (U.S.),N/A,N/A,
Vietnam,4806,0.46,
Vanuatu,3492,0.23,
Samoa,9360.264097,N/A,
Kosovo,3775.445437,N/A,
"Yemen, Rep.",N/A,N/A,
South Africa,6397,0.3,
Zambia,1332,0.17,
Zimbabwe,2199,0.18,
